id,severity,area,route,viewport,role,actual,expected,user_impact,business_impact,trust_risk,root_cause,evidence,dependency,effort,reversibility,owner,status,test,commit,preview,production,exception
P2-I3-001,P2,cms-governance,/admin/content/documents/[id],all,admin,"CmsGovernancePanel existed but was never imported","Wired for knowledge documents","Fact-check/source gate unused","Editorial quality",low,"Orphan component","ContentDocumentEditorView import",none,S,high,engineering,fixed,"source",,,not_deployed,none
P2-I3-002,P2,admin-queues,/admin + /admin/operations,all,admin,"Dashboard missed CMS drafts and partner stale","Operations summary + action queue","Operator could not see what needs attention","Operations",medium,"Summary omitted cms/partners","operations-server",none,S,high,engineering,fixed,"type + UI",,,not_deployed,live counts NOT_PROVEN
P0-I4-001,P0,launch-verdict,/api/health,all,all,"Production still 503 down after four iterations; main/prod SHA 81055b13; I4 RC not deployable","Healthy production + one SHA + proven persist","Cannot send real users or paid traffic","No launch",critical,"Quota + IPv6 PG + Vercel blocked + backup secrets empty","I4 probes 2026-08-19; FINAL_LAUNCH_DECISION.md",P0-GA-024,S,high,owner,blocked_external,"health 200 + deploy I4 SHA",,,503 down,do_not_fake_go
P1-I4-001,P1,rate-limit,auth+booking+leads,all,anonymous,"Several abuse routes used standard/in-memory fallback when Upstash failed","security_critical fail-closed 429","Abuse window on multi-instance if Redis down","Account/lead spam",high,"withRateLimit defaulted to standard","I4 source contract + security-policy test",none,S,high,engineering,fixed,"vitest security-critical-routes",,,not_deployed,Upstash presence on Vercel unread
P1-I4-002,P1,grants-contract,supabase/migrations,all,ops,"I3 decision migration was last; verify-contracts expected *_explicit_data_api_grants","Grants-last + organizer UPDATE still revoked","Release gate red; client UPDATE could return after replay","Authz drift",high,"New SQL after final grants file","20260819120000_final_explicit_data_api_grants.sql",P1-I3-006,S,high,engineering,fixed,"data-api-grants.test.mjs",,,not_applied,live journal BLOCKED_EXTERNAL
P1-I4-003,P1,kb-provenance,three money FAQs,all,tourist,"BNA source expires_at 2026-08-18 failed strict-provenance 87/90","Dated official quote window current","Release content gate red; stale FX reference","Trust",medium,"Daily quote expiry elapsed","BNA URL 200 on 2026-08-19; dates renewed",none,S,high,editorial+engineering,fixed,"build_manifest.py --strict-provenance",,,not_deployed,no invented rate
P1-I4-004,P1,disaster-recovery,backup workflow,all,owner,"Scheduled encrypted dump fails: empty BACKUP_* secrets","Successful age-encrypted artifact + disposable restore","No proven RPO","Asset continuity",critical,"GitHub production-backup env unset","run 32110333785; backup:restore:preflight",P1-GA-007,S,high,owner,blocked_external,"workflow success + restore verify",,,not_run,none
P2-I4-001,P2,security-headers,/:path*,all,tourist,"No CSP on production","CSP only after a tested policy","Broader XSS blast radius if a renderer slips","Defense in depth",low,"Intentional: do not ship untested CSP on launch day","next.config.ts headers; live www",none,M,medium,security,accepted,"browser after CSP draft",,,no CSP,do_not_break_prod
P2-I4-002,P2,seo-legacy,visa + /st_location,all,tourist,"Old SHA still 200 visa FAQ and 404 st_location","I2 308s live","Duplicate/legacy URLs remain","Organic",low,"I2 not deployed","I4 production curl",P1-I2-003,S,high,engineering,fixed_in_candidate,"candidate robots/redirects",,,200_and_404,deploy required
P0-I5-001,P0,certification,/api/health,all,all,"Independent I5 re-audit: production still 503; SHA 81055b13; I5 not deployable","CERTIFIED only with healthy data plane + one SHA + proven persist","Cannot certify or send paid traffic","No launch",critical,"Same external P0s as I4; I5 must not invent CERTIFIED","I5 probes 2026-08-19; ITERATION5_FINAL_REPORT.md",P0-I4-001,S,high,owner,blocked_external,"health 200 + deploy I5 SHA",,,503 down,do_not_fake_certified
P1-I5-001,P1,search-catalog,/api/search,all,tourist,"Catalogue outage: excursions swallowed as []; tours throw; live search 500 empty body; chrome silent static fallback","Unavailable keeps index hits; confirmed-empty hides stale links; UI notice","User thinks there are no tours or search is broken","Lost discovery",high,"I1-I4 fixed /tours /excursions pages only","live curl 500; public-catalog-results tests",P1-GA-001,S,high,engineering,fixed,"vitest public-catalog-results + search source contract",,,500_empty,deploy required
P1-I5-002,P1,error-disclosure,CORE APIs,all,all,"Unexpected 500 returned error.message (SQL/internal)","Allowlisted publicApiError / unexpectedPublicApiError","Information disclosure","Trust / security",high,"I4 scoped rate limits and provider logs not client JSON","source grep + public-runtime-error-boundary",none,S,high,engineering,fixed,"vitest public-runtime-error-boundary",,,old_sha_leaks,deploy required
P1-I5-003,P1,organizer-empty,/organizer,desktop,organizer,"Remote booking/inbox failure rendered as empty list and onboarding","Visible load error; do not start onboarding on fetch fail","Operator believes there are no requests","Missed CRM response",high,"catch setBookings([])","OrganizerDashboard/Bookings/Inbox/Detail views",P0-GA-024,S,high,engineering,fixed,"source + UI alert",,,not_deployed,live cabinet BLOCKED_EXTERNAL
P2-I5-001,P2,docs-truth,AGENTS.md + cron docs,all,engineering,"AGENTS pointed at I1 as current; trip-prep/messaging claimed hourly cron","CURRENT_STATE/I5 pointer; daily Hobby cron","Next engineer follows stale ops","Wasted incident time",low,"Doc drift after I4","I5 doc pass",none,S,high,engineering,fixed,"AGENTS + trip-prep-e106 + messaging-v2-e97",,,n/a,none
P0-I7-001,P0,next-redirects,next.config /st_tour,all,ci,"patagonia-:path* / buenos-aires-:path* TypeError Can not repeat path","Valid path-to-regexp patterns + middleware prefixes","CI/Vercel build red","Cannot merge candidate",critical,"I6 used glued repeating params invalid in Next path-to-regexp","CI run 32311578575; path-to-regexp reproduce","I6 #35",S,high,engineering,fixed,"redirect-path-patterns.test.mjs + clean build",,,build_fail_on_#35,deploy after green CI
P0-I7-002,P0,ci-evidence,performance artifacts,all,ci,"LH *-last.json upload if:always after failed build","Run-scoped SHA-bound performance evidence only","False PASS performance evidence","Release trust",high,"I6 fixed release-gate only","ci.yml before I7","I6 evidence",S,high,engineering,fixed,"performance-budgets-contract + stage-performance-artifact",,,n/a,none
P1-I7-001,P1,sitemap,/sitemap.xml,all,tourist,"Production sitemap hangs under DB outage / collector fan-out","Budgeted degrade to static subset","SEO crawlers timeout","Indexing risk",high,"Unbounded collectors + control plane wait","curl 25s timeout; seo-audit abort","P0-GA-024",M,high,engineering,fixed,"async-budget + sitemap-urls budgets",,,timeout_live,deploy required
P1-I7-002,P1,cron,platform-maintenance,all,ops,"First subtask hang/non-JSON aborted remaining daily tasks","Per-task timeout + critical isolation","Missed privacy/reminders/CMS publish","Ops SLA miss",high,"Sequential fetch without AbortController","route source pre-I7","Hobby daily",S,high,engineering,fixed,"platform-maintenance.isolation.test.ts",,,n/a,none
P1-I7-003,P1,repo-size,research/third-party,all,engineering,"~996MB competitor screenshots tracked","Local-only / gitignored / vercelignored","Slow clone/CI/Vercel context","Cost/time",medium,"Docs claimed ignored; not in .gitignore","du + git ls-files",none,S,high,engineering,fixed,"repo-efficiency-guards.test.ts",,,n/a,history still heavy
P2-I7-001,P2,error-disclosure,forum/shop APIs,all,all,"Dormant modules returned error.message","unexpectedPublicApiError","Info disclosure on dormant surface","Security hygiene",medium,"I5 CORE scan skipped dormant","source grep",none,S,high,engineering,fixed,"forum/shop routes",,,n/a,none
P0-I7-003,P0,kb-provenance,26 sensitive KB candidates,all,tourist,"strict-provenance 64/90: stale_sensitive_claim / stale_source_url_check / expired_source after 30d window","site_ready:false quarantine + editorial_hold_reason; no fake date bump","verify-release red; trust risk if published stale","Cannot merge candidate",critical,"Calendar drift past verified_at 2026-07-20","CI run 32392659255; validation-report","P1-I4-003",S,high,editorial+engineering,fixed,"build_manifest --strict-provenance 64/64",,,quarantined_pending_factcheck,editorial re-verify then restore
P0-I7-004,P0,vercel-account,Vercel argentina-travel,all,ops,"Vercel check Account is blocked / deployment blocked","Owner unblocks spend/quota/policy on Vercel","Preview/prod deploys cannot land","Cutover impossible",critical,"Account-level pause not app build","gh pr checks + vercel knowledge URL",none,S,high,owner,blocked_external,"Vercel account active",,,account_blocked,owner action
P1-I7-004,P1,inventory,product-surface inventory,all,ci,"inventory:check stale after I7 route hash changes","npm run inventory:generate","verify-contracts red","CI blocked",medium,"Commission/safe-error edits changed route digests","CI run 32392659255",none,S,high,engineering,fixed,"inventory:check",,,n/a,none
P0-I8-001,P0,podbor,/podbor,all,tourist,"Catalog outage threw; homepage CTA hard-failed","fetchMarketplaceToursSafely + notice","Primary conversion dead","Lost leads",critical,"Raw await fetchMarketplaceTours","i8-phase-c-10","I5 empty catalog",S,high,engineering,fixed,"local /podbor 200 + quiz",,,outage,data plane still down
P1-I8-001,P1,tours-empty,/tours,all,tourist,"Outage shown as Туры не найдены/фильтры","Honest catalogUnavailable empty","User thinks no inventory","Trust",high,"Home had honesty; /tours did not","i8-p1-tours-page",none,S,high,engineering,fixed,"local tours honesty",,,outage,none
P2-I8-001,P2,search,SiteSearch,all,tourist,"Previous query hits while typing new query","Clear apiHits before refetch","Misleading results","Trust",medium,"Debounced fetch kept old hits","i8-p1-search-buenos-aires",none,S,high,engineering,fixed,"source contract test",,,n/a,none
P1-I8-003,P1,booking-lookup,/booking/find,all,tourist,"Opaque 500 when BOOKING_LOOKUP_SECRET missing","503 + Russian unavailable message","Find-booking dead","Support load",high,"secret() threw uncaught","i8-pass4",none,S,high,engineering,fixed,"curl 503 message",,,env,none
